"Language","Count"
"English","933130000"
"Spanish","13907400"
"German","6040400"
"Portuguese","5156500"
"Indonesian","3293060"
"French","2127700"
"Italian","639900"
"Turkish","630040"
"Russian","628430"
"Polish","578500"
"Dutch","554300"
"Japanese","470320"
"Slovenian","376700"
"Chinese (Simplified)","356600"
"Korean","250660"
"Czech","236380"
"Swedish","180930"
"Serbian","162510"
"Romanian","159590"
"Croatian","155980"
"Catalan","151730"
"Norwegian","140300"
"Finnish","120640"
"Greek","110960"
"Hungarian","93330"
"Danish","72619"
"Arabic","70040"
"Chinese (Traditional)","69810"
"Lithuanian","61210"
"Slovak","58650"
"Latvian","46466"
"Hebrew","40703"
"Icelandic","27515"
"Bulgarian","24191"
"Estonian","20960"
