"PLAN_INDEX","TOOL_IDENTIFIER","COUNTRY","COUNT"
"933","CC BY 4.0","Afghanistan","2650"
"934","CC BY 4.0","Albania","422"
"935","CC BY 4.0","Algeria","2700"
"936","CC BY 4.0","American Samoa","2"
"937","CC BY 4.0","Andorra","5"
"938","CC BY 4.0","Angola","167"
"939","CC BY 4.0","Anguilla","1"
"940","CC BY 4.0","Antarctica","7"
"941","CC BY 4.0","Antigua and Barbuda","8"
"942","CC BY 4.0","Argentina","79600"
"943","CC BY 4.0","Armenia","2590"
"944","CC BY 4.0","Aruba","8"
"945","CC BY 4.0","Australia","230000"
"946","CC BY 4.0","Austria","36600"
"947","CC BY 4.0","Azerbaijan","2010"
"948","CC BY 4.0","Bahamas","5"
"949","CC BY 4.0","Bahrain","62"
"950","CC BY 4.0","Bangladesh","1490"
"951","CC BY 4.0","Barbados","9"
"952","CC BY 4.0","Belarus","376"
"953","CC BY 4.0","Belgium","99500"
"954","CC BY 4.0","Belize","9"
"955","CC BY 4.0","Benin","126"
"956","CC BY 4.0","Bermuda","3"
"957","CC BY 4.0","Bhutan","621"
"958","CC BY 4.0","Bolivia","1660"
"959","CC BY 4.0","Bosnia and Herzegovina","2010"
"960","CC BY 4.0","Botswana","144"
"961","CC BY 4.0","Bouvet Island","0"
"962","CC BY 4.0","Brazil","486000"
"963","CC BY 4.0","British Indian Ocean Territory","0"
"964","CC BY 4.0","Brunei Darussalam","334"
"965","CC BY 4.0","Bulgaria","10800"
"966","CC BY 4.0","Burkina Faso","96"
"967","CC BY 4.0","Burundi","10"
"968","CC BY 4.0","Cambodia","969"
"969","CC BY 4.0","Cameroon","149"
"970","CC BY 4.0","Canada","217000"
"971","CC BY 4.0","Cape Verde","9"
"972","CC BY 4.0","Cayman Islands","4"
"973","CC BY 4.0","Central African Republic","1"
"974","CC BY 4.0","Chad","6"
"975","CC BY 4.0","Chile","13600"
"976","CC BY 4.0","China","67500"
"977","CC BY 4.0","Christmas Island","5"
"978","CC BY 4.0","Cocos (Keeling) Islands","0"
"979","CC BY 4.0","Colombia","61700"
"980","CC BY 4.0","Comoros","0"
"981","CC BY 4.0","Congo","43"
"982","CC BY 4.0","Congo, the Democratic Republic of the","19"
"983","CC BY 4.0","Cook Islands","34"
"984","CC BY 4.0","Costa Rica","11400"
"985","CC BY 4.0","Cote D'ivoire","16"
"986","CC BY 4.0","Croatia (Hrvatska)","24300"
"987","CC BY 4.0","Cuba","7710"
"988","CC BY 4.0","Cyprus","3390"
"989","CC BY 4.0","Czech Republic","26100"
"990","CC BY 4.0","Denmark","55900"
"991","CC BY 4.0","Djibouti","5"
"992","CC BY 4.0","Dominica","0"
"993","CC BY 4.0","Dominican Republic","581"
"994","CC BY 4.0","East Timor","0"
"995","CC BY 4.0","Ecuador","33600"
"996","CC BY 4.0","Egypt","6080"
"997","CC BY 4.0","El Salvador","840"
"998","CC BY 4.0","Equatorial Guinea","0"
"999","CC BY 4.0","Eritrea","3"
"1000","CC BY 4.0","Estonia","2170"
"1001","CC BY 4.0","Ethiopia","1580"
"1002","CC BY 4.0","European Union","0"
"1003","CC BY 4.0","Falkland Islands (Malvinas)","3"
"1004","CC BY 4.0","Faroe Islands","208"
"1005","CC BY 4.0","Fiji","143"
"1006","CC BY 4.0","Finland","64800"
"1007","CC BY 4.0","France","246000"
"1008","CC BY 4.0","France, Metropolitan","0"
"1009","CC BY 4.0","French Guiana","1"
"1010","CC BY 4.0","French Polynesia","3"
"1011","CC BY 4.0","French Southern Territories","1"
"1012","CC BY 4.0","Gabon","0"
"1013","CC BY 4.0","Gambia","22"
"1014","CC BY 4.0","Georgia","749"
"1015","CC BY 4.0","Germany","7620000"
"1016","CC BY 4.0","Ghana","3800"
"1017","CC BY 4.0","Gibraltar","5"
"1018","CC BY 4.0","Greece","22300"
"1019","CC BY 4.0","Greenland","17"
"1020","CC BY 4.0","Grenada","34"
"1021","CC BY 4.0","Guadeloupe","0"
"1022","CC BY 4.0","Guam","0"
"1023","CC BY 4.0","Guatemala","855"
"1024","CC BY 4.0","Guinea","1"
"1025","CC BY 4.0","Guinea-Bissau","4"
"1026","CC BY 4.0","Guyana","10"
"1027","CC BY 4.0","Haiti","19"
"1028","CC BY 4.0","Heard Island and Mcdonald Islands","1"
"1029","CC BY 4.0","Holy See (Vatican City State)","5"
"1030","CC BY 4.0","Honduras","104"
"1031","CC BY 4.0","Hong Kong","50900"
"1032","CC BY 4.0","Hungary","15900"
"1033","CC BY 4.0","Iceland","6290"
"1034","CC BY 4.0","India","120000"
"1035","CC BY 4.0","Indonesia","255000"
"1036","CC BY 4.0","Iran, Islamic Republic of","87600"
"1037","CC BY 4.0","Iraq","21800"
"1038","CC BY 4.0","Ireland","121000"
"1039","CC BY 4.0","Israel","8620"
"1040","CC BY 4.0","Italy","156000"
"1041","CC BY 4.0","Jamaica","91"
"1042","CC BY 4.0","Japan","137000"
"1043","CC BY 4.0","Jordan","1200"
"1044","CC BY 4.0","Kazakhstan","5690"
"1045","CC BY 4.0","Kenya","5050"
"1046","CC BY 4.0","Kiribati","4"
"1047","CC BY 4.0","Korea, Democratic People's Republic of","0"
"1048","CC BY 4.0","Korea, Republic of","155000"
"1049","CC BY 4.0","Kuwait","57"
"1050","CC BY 4.0","Kyrgyzstan","110"
"1051","CC BY 4.0","Lao People's Democratic Republic","6"
"1052","CC BY 4.0","Latvia","2650"
"1053","CC BY 4.0","Lebanon","1180"
"1054","CC BY 4.0","Lesotho","99"
"1055","CC BY 4.0","Liberia","2680"
"1056","CC BY 4.0","Libyan Arab Jamahiriya","1100"
"1057","CC BY 4.0","Liechtenstein","74"
"1058","CC BY 4.0","Lithuania","20900"
"1059","CC BY 4.0","Luxembourg","14800"
"1060","CC BY 4.0","Macao","33"
"1061","CC BY 4.0","Macedonia, the Former Yugosalv Republic of","706"
"1062","CC BY 4.0","Madagascar","2100"
"1063","CC BY 4.0","Malawi","327"
"1064","CC BY 4.0","Malaysia","15000"
"1065","CC BY 4.0","Maldives","381"
"1066","CC BY 4.0","Mali","7"
"1067","CC BY 4.0","Malta","1240"
"1068","CC BY 4.0","Marshall Islands","0"
"1069","CC BY 4.0","Martinique","0"
"1070","CC BY 4.0","Mauritania","3"
"1071","CC BY 4.0","Mauritius","34"
"1072","CC BY 4.0","Mayotte","0"
