"PLAN_INDEX","TOOL_IDENTIFIER","COUNTRY","COUNT"
"933","CC BY 4.0","Afghanistan","312"
"934","CC BY 4.0","Albania","477"
"935","CC BY 4.0","Algeria","2480"
"936","CC BY 4.0","American Samoa","4"
"937","CC BY 4.0","Andorra","7"
"938","CC BY 4.0","Angola","133"
"939","CC BY 4.0","Anguilla","1"
"940","CC BY 4.0","Antarctica","26"
"941","CC BY 4.0","Antigua and Barbuda","6"
"942","CC BY 4.0","Argentina","70000"
"943","CC BY 4.0","Armenia","3460"
"944","CC BY 4.0","Aruba","7"
"945","CC BY 4.0","Australia","289000"
"946","CC BY 4.0","Austria","30600"
"947","CC BY 4.0","Azerbaijan","3980"
"948","CC BY 4.0","Bahamas","4"
"949","CC BY 4.0","Bahrain","65"
"950","CC BY 4.0","Bangladesh","2840"
"951","CC BY 4.0","Barbados","7"
"952","CC BY 4.0","Belarus","315"
"953","CC BY 4.0","Belgium","107000"
"954","CC BY 4.0","Belize","5"
"955","CC BY 4.0","Benin","83"
"956","CC BY 4.0","Bermuda","3"
"957","CC BY 4.0","Bhutan","564"
"958","CC BY 4.0","Bolivia","1920"
"959","CC BY 4.0","Bosnia and Herzegovina","6100"
"960","CC BY 4.0","Botswana","140"
"961","CC BY 4.0","Bouvet Island","0"
"962","CC BY 4.0","Brazil","695000"
"963","CC BY 4.0","British Indian Ocean Territory","0"
"964","CC BY 4.0","Brunei Darussalam","268"
"965","CC BY 4.0","Bulgaria","9590"
"966","CC BY 4.0","Burkina Faso","105"
"967","CC BY 4.0","Burundi","9"
"968","CC BY 4.0","Cambodia","1260"
"969","CC BY 4.0","Cameroon","39"
"970","CC BY 4.0","Canada","239000"
"971","CC BY 4.0","Cape Verde","8"
"972","CC BY 4.0","Cayman Islands","3"
"973","CC BY 4.0","Central African Republic","0"
"974","CC BY 4.0","Chad","5"
"975","CC BY 4.0","Chile","20200"
"976","CC BY 4.0","China","92700"
"977","CC BY 4.0","Christmas Island","7"
"978","CC BY 4.0","Cocos (Keeling) Islands","0"
"979","CC BY 4.0","Colombia","66500"
"980","CC BY 4.0","Comoros","0"
"981","CC BY 4.0","Congo","53"
"982","CC BY 4.0","Congo, the Democratic Republic of the","1800"
"983","CC BY 4.0","Cook Islands","29"
"984","CC BY 4.0","Costa Rica","11700"
"985","CC BY 4.0","Cote D'ivoire","15"
"986","CC BY 4.0","Croatia (Hrvatska)","25700"
"987","CC BY 4.0","Cuba","8760"
"988","CC BY 4.0","Cyprus","9"
"989","CC BY 4.0","Czech Republic","27900"
"990","CC BY 4.0","Denmark","62800"
"991","CC BY 4.0","Djibouti","3"
"992","CC BY 4.0","Dominica","0"
"993","CC BY 4.0","Dominican Republic","599"
"994","CC BY 4.0","East Timor","0"
"995","CC BY 4.0","Ecuador","25900"
"996","CC BY 4.0","Egypt","5310"
