"PLAN_INDEX","TOOL_IDENTIFIER","COUNTRY","COUNT"
"933","CC BY 4.0","Afghanistan","3260"
"934","CC BY 4.0","Albania","313"
"935","CC BY 4.0","Algeria","3150"
"936","CC BY 4.0","American Samoa","5"
"937","CC BY 4.0","Andorra","5"
"938","CC BY 4.0","Angola","177"
"939","CC BY 4.0","Anguilla","1"
"940","CC BY 4.0","Antarctica","6"
"941","CC BY 4.0","Antigua and Barbuda","8"
"942","CC BY 4.0","Argentina","67400"
"943","CC BY 4.0","Armenia","2860"
"944","CC BY 4.0","Aruba","29200"
"945","CC BY 4.0","Australia","227000"
"946","CC BY 4.0","Austria","30900"
"947","CC BY 4.0","Azerbaijan","1790"
"948","CC BY 4.0","Bahamas","7"
"949","CC BY 4.0","Bahrain","85"
"950","CC BY 4.0","Bangladesh","1910"
"951","CC BY 4.0","Barbados","7"
"952","CC BY 4.0","Belarus","439"
"953","CC BY 4.0","Belgium","86400"
"954","CC BY 4.0","Belize","9"
"955","CC BY 4.0","Benin","287"
"956","CC BY 4.0","Bermuda","3"
"957","CC BY 4.0","Bhutan","620"
"958","CC BY 4.0","Bolivia","1760"
"959","CC BY 4.0","Bosnia and Herzegovina","2300"
"960","CC BY 4.0","Botswana","144"
"961","CC BY 4.0","Bouvet Island","0"
"962","CC BY 4.0","Brazil","756000"
"963","CC BY 4.0","British Indian Ocean Territory","0"
"964","CC BY 4.0","Brunei Darussalam","332"
"965","CC BY 4.0","Bulgaria","11400"
"966","CC BY 4.0","Burkina Faso","93"
"967","CC BY 4.0","Burundi","8"
"968","CC BY 4.0","Cambodia","837"
"969","CC BY 4.0","Cameroon","162"
"970","CC BY 4.0","Canada","322000"
"971","CC BY 4.0","Cape Verde","10"
"972","CC BY 4.0","Cayman Islands","4"
"973","CC BY 4.0","Central African Republic","1"
"974","CC BY 4.0","Chad","7"
"975","CC BY 4.0","Chile","14100"
"976","CC BY 4.0","China","74400"
"977","CC BY 4.0","Christmas Island","5"
"978","CC BY 4.0","Cocos (Keeling) Islands","0"
"979","CC BY 4.0","Colombia","59100"
"980","CC BY 4.0","Comoros","0"
"981","CC BY 4.0","Congo","44"
"982","CC BY 4.0","Congo, the Democratic Republic of the","29"
"983","CC BY 4.0","Cook Islands","3"
"984","CC BY 4.0","Costa Rica","10800"
"985","CC BY 4.0","Cote D'ivoire","10"
"986","CC BY 4.0","Croatia (Hrvatska)","27100"
"987","CC BY 4.0","Cuba","10500"
"988","CC BY 4.0","Cyprus","4430"
"989","CC BY 4.0","Czech Republic","24700"
"990","CC BY 4.0","Denmark","59800"
"991","CC BY 4.0","Djibouti","7"
"992","CC BY 4.0","Dominica","0"
"993","CC BY 4.0","Dominican Republic","894"
"994","CC BY 4.0","East Timor","0"
"995","CC BY 4.0","Ecuador","36400"
"996","CC BY 4.0","Egypt","6190"
"997","CC BY 4.0","El Salvador","1560"
"998","CC BY 4.0","Equatorial Guinea","0"
"999","CC BY 4.0","Eritrea","3"
"1000","CC BY 4.0","Estonia","2620"
"1001","CC BY 4.0","Ethiopia","1740"
"1002","CC BY 4.0","European Union","0"
"1003","CC BY 4.0","Falkland Islands (Malvinas)","6"
"1004","CC BY 4.0","Faroe Islands","232"
"1005","CC BY 4.0","Fiji","153"
"1006","CC BY 4.0","Finland","77200"
"1007","CC BY 4.0","France","248000"
"1008","CC BY 4.0","France, Metropolitan","0"
"1009","CC BY 4.0","French Guiana","1"
"1010","CC BY 4.0","French Polynesia","4"
"1011","CC BY 4.0","French Southern Territories","1"
"1012","CC BY 4.0","Gabon","0"
"1013","CC BY 4.0","Gambia","18"
"1014","CC BY 4.0","Georgia","799"
"1015","CC BY 4.0","Germany","8320000"
"1016","CC BY 4.0","Ghana","4180"
"1017","CC BY 4.0","Gibraltar","5"
"1018","CC BY 4.0","Greece","19400"
"1019","CC BY 4.0","Greenland","18"
"1020","CC BY 4.0","Grenada","30"
"1021","CC BY 4.0","Guadeloupe","0"
"1022","CC BY 4.0","Guam","0"
"1023","CC BY 4.0","Guatemala","730"
"1024","CC BY 4.0","Guinea","1"
"1025","CC BY 4.0","Guinea-Bissau","5"
"1026","CC BY 4.0","Guyana","36"
"1027","CC BY 4.0","Haiti","38"
"1028","CC BY 4.0","Heard Island and Mcdonald Islands","1"
"1029","CC BY 4.0","Holy See (Vatican City State)","5"
"1030","CC BY 4.0","Honduras","1370"
"1031","CC BY 4.0","Hong Kong","52300"
"1032","CC BY 4.0","Hungary","18200"
"1033","CC BY 4.0","Iceland","5540"
"1034","CC BY 4.0","India","115000"
"1035","CC BY 4.0","Indonesia","278000"
"1036","CC BY 4.0","Iran, Islamic Republic of","99500"
"1037","CC BY 4.0","Iraq","24000"
"1038","CC BY 4.0","Ireland","101000"
"1039","CC BY 4.0","Israel","11300"
"1040","CC BY 4.0","Italy","566000"
"1041","CC BY 4.0","Jamaica","112"
"1042","CC BY 4.0","Japan","144000"
"1043","CC BY 4.0","Jordan","1360"
"1044","CC BY 4.0","Kazakhstan","8640"
"1045","CC BY 4.0","Kenya","6490"
"1046","CC BY 4.0","Kiribati","3"
"1047","CC BY 4.0","Korea, Democratic People's Republic of","0"
"1048","CC BY 4.0","Korea, Republic of","155000"
"1049","CC BY 4.0","Kuwait","65"
"1050","CC BY 4.0","Kyrgyzstan","105"
"1051","CC BY 4.0","Lao People's Democratic Republic","5"
"1052","CC BY 4.0","Latvia","2900"
"1053","CC BY 4.0","Lebanon","1240"
"1054","CC BY 4.0","Lesotho","89"
"1055","CC BY 4.0","Liberia","264"
"1056","CC BY 4.0","Libyan Arab Jamahiriya","1830"
"1057","CC BY 4.0","Liechtenstein","51"
"1058","CC BY 4.0","Lithuania","21900"
"1059","CC BY 4.0","Luxembourg","13400"
"1060","CC BY 4.0","Macao","43"
"1061","CC BY 4.0","Macedonia, the Former Yugosalv Republic of","897"
"1062","CC BY 4.0","Madagascar","2450"
"1063","CC BY 4.0","Malawi","255"
"1064","CC BY 4.0","Malaysia","17700"
"1065","CC BY 4.0","Maldives","86"
"1066","CC BY 4.0","Mali","7"
"1067","CC BY 4.0","Malta","1370"
"1068","CC BY 4.0","Marshall Islands","0"
"1069","CC BY 4.0","Martinique","4"
"1070","CC BY 4.0","Mauritania","3"
"1071","CC BY 4.0","Mauritius","42"
"1072","CC BY 4.0","Mayotte","0"
"1073","CC BY 4.0","Mexico","57800"
"1074","CC BY 4.0","Micronesia, Federated States of","7"
"1075","CC BY 4.0","Moldova, Republic of","939"
"1076","CC BY 4.0","Monaco","8"
"1077","CC BY 4.0","Mongolia","1010"
"1078","CC BY 4.0","Montserrat","0"
"1079","CC BY 4.0","Morocco","1500"
"1080","CC BY 4.0","Mozambique","308"
"1081","CC BY 4.0","Myanmar","66"
"1082","CC BY 4.0","Namibia","424"
"1083","CC BY 4.0","Nauru","3"
"1084","CC BY 4.0","Nepal","4440"
"1085","CC BY 4.0","Netherlands","219000"
"1086","CC BY 4.0","Netherlands Antilles","0"
"1087","CC BY 4.0","New Caledonia","29"
"1088","CC BY 4.0","New Zealand","31300"
"1089","CC BY 4.0","Nicaragua","23500"
"1090","CC BY 4.0","Niger","11"
"1091","CC BY 4.0","Nigeria","19300"
"1092","CC BY 4.0","Niue","3"
"1093","CC BY 4.0","Norfolk Island","2"
"1094","CC BY 4.0","Northern Mariana Islands","2"
"1095","CC BY 4.0","Norway","45700"
"1096","CC BY 4.0","Oman","1280"
"1097","CC BY 4.0","Pakistan","13500"
"1098","CC BY 4.0","Palau","5"
"1099","CC BY 4.0","Palestinian Territory","384"
"1100","CC BY 4.0","Panama","2890"
"1101","CC BY 4.0","Papua New Guinea","50"
"1102","CC BY 4.0","Paraguay","1310"
"1103","CC BY 4.0","Peru","56800"
"1104","CC BY 4.0","Philippines","9140"
"1105","CC BY 4.0","Pitcairn","0"
"1106","CC BY 4.0","Poland","152000"
"1107","CC BY 4.0","Portugal","32500"
"1108","CC BY 4.0","Puerto Rico","394"
"1109","CC BY 4.0","Qatar","9"
"1110","CC BY 4.0","Reunion","56"
"1111","CC BY 4.0","Romania","13500"
"1112","CC BY 4.0","Russian Federation","121000"
"1113","CC BY 4.0","Rwanda","2930"
"1114","CC BY 4.0","Saint Helena","31"
"1115","CC BY 4.0","Saint Kitts and Nevis","2"
"1116","CC BY 4.0","Saint Lucia","7"
"1117","CC BY 4.0","Saint Pierre and Miquelon","7"
"1118","CC BY 4.0","Saint Vincent and the Grenadines","5"
"1119","CC BY 4.0","Samoa","423"
"1120","CC BY 4.0","San Marino","8"
"1121","CC BY 4.0","Sao Tome and Principe","93"
"1122","CC BY 4.0","Saudi Arabia","8210"
"1123","CC BY 4.0","Senegal","48"
"1124","CC BY 4.0","Serbia and Montenegro","391000000"
"1125","CC BY 4.0","Seychelles","0"
"1126","CC BY 4.0","Sierra Leone","51"
"1127","CC BY 4.0","Singapore","67200"
"1128","CC BY 4.0","Slovakia","4670"
"1129","CC BY 4.0","Slovenia","75300"
"1130","CC BY 4.0","Solomon Islands","5"
"1131","CC BY 4.0","Somalia","2720"
"1132","CC BY 4.0","South Africa","77800"
"1133","CC BY 4.0","South Georgia and the South Sandwich Islands","1"
"1134","CC BY 4.0","Spain","218000"
"1135","CC BY 4.0","Sri Lanka","1520"
"1136","CC BY 4.0","Sudan","51"
"1137","CC BY 4.0","Suriname","6"
"1138","CC BY 4.0","Svalbard and Jan Mayen","0"
"1139","CC BY 4.0","Swaziland","4"
"1140","CC BY 4.0","Sweden","77600"
"1141","CC BY 4.0","Switzerland","192000"
"1142","CC BY 4.0","Syrian Arab Republic","458"
"1143","CC BY 4.0","Taiwan, Province of China","9290"
"1144","CC BY 4.0","Tajikistan","156"
"1145","CC BY 4.0","Tanzania, United Republic of","1160"
"1146","CC BY 4.0","Thailand","8950"
"1147","CC BY 4.0","Togo","15"
"1148","CC BY 4.0","Tokelau","0"
"1149","CC BY 4.0","Tonga","833"
"1150","CC BY 4.0","Trinidad and Tobago","79"
"1151","CC BY 4.0","Tunisia","516"
"1152","CC BY 4.0","Turkey","95600"
"1153","CC BY 4.0","Turkmenistan","21"
"1154","CC BY 4.0","Turks and Caicos Islands","3"
"1155","CC BY 4.0","Tuvalu","3"
"1156","CC BY 4.0","Uganda","5070"
"1157","CC BY 4.0","Ukraine","40300"
"1158","CC BY 4.0","United Arab Emirates","3270"
"1159","CC BY 4.0","United Kingdom","4320000"
"1160","CC BY 4.0","United States","338000000"
"1161","CC BY 4.0","United States Minor Outlying Islands","0"
"1162","CC BY 4.0","Uruguay","9"
"1163","CC BY 4.0","Uzbekistan","4560"
"1164","CC BY 4.0","Vanuatu","6"
"1165","CC BY 4.0","Venezuela","8050"
"1166","CC BY 4.0","Vietnam","71000"
"1167","CC BY 4.0","Virgin Islands, British","1300"
"1168","CC BY 4.0","Virgin Islands, U.S.","974"
"1169","CC BY 4.0","Wallis and Futuna","3"
"1170","CC BY 4.0","Western Sahara","0"
"1171","CC BY 4.0","Yemen","584"
"1172","CC BY 4.0","Yugoslavia","0"
"1173","CC BY 4.0","Zambia","1500"
"1174","CC BY 4.0","Zimbabwe","757"
"1175","CC BY-NC 4.0","Afghanistan","839"
"1176","CC BY-NC 4.0","Albania","98"
"1177","CC BY-NC 4.0","Algeria","722"
"1178","CC BY-NC 4.0","American Samoa","0"
"1179","CC BY-NC 4.0","Andorra","3"
"1180","CC BY-NC 4.0","Angola","10"
"1181","CC BY-NC 4.0","Anguilla","0"
"1182","CC BY-NC 4.0","Antarctica","1"
"1183","CC BY-NC 4.0","Antigua and Barbuda","0"
"1184","CC BY-NC 4.0","Argentina","47100"
"1185","CC BY-NC 4.0","Armenia","218"
"1186","CC BY-NC 4.0","Aruba","31800"
"1187","CC BY-NC 4.0","Australia","67400"
"1188","CC BY-NC 4.0","Austria","8130"
"1189","CC BY-NC 4.0","Azerbaijan","342"
"1190","CC BY-NC 4.0","Bahamas","3"
"1191","CC BY-NC 4.0","Bahrain","11"
"1192","CC BY-NC 4.0","Bangladesh","355"
"1193","CC BY-NC 4.0","Barbados","3"
"1194","CC BY-NC 4.0","Belarus","81"
"1195","CC BY-NC 4.0","Belgium","20500"
"1196","CC BY-NC 4.0","Belize","3"
"1197","CC BY-NC 4.0","Benin","9"
"1198","CC BY-NC 4.0","Bermuda","2"
