,location,dates,license,description,tags,views,comments
10,,2022-10-15 12:00:24,1.0,,"['iran', 'vigo', 'galiza', 'feminismo', 'muller', 'vida', 'liberdade']",1.0,0.0
11,,2022-10-15 13:33:31,1.0,"<a href=""http://www.oxonraces.com/photos/download.php?myidlc=2022-10-15-oxford&amp;frameid=0607"" rel=""noreferrer nofollow"">Click here if you wish to download a hi-res version of this photo</a>. If you put a photo somewhere public, please add the credit <em>Photo by Barry Cornelius</em>.  <a href=""http://www.oxonraces.com/photos/2022-10-15-oxford/"" rel=""noreferrer nofollow"">Click here for more photos of the 2022 Chiltern XC League Match 1</a>.","['2022', 'Chiltern XC League Match 1', 'Oxford', 'SV Women point H', 'Barry Cornelius', 'oxonraces']",1.0,0.0
12,"Hsinchu, Taiwan",2022-10-15 08:48:45,1.0,,[],47.0,0.0
13,"Corvallis, Oregon, USA",2022-10-04 19:24:03,1.0,"Pan-fired oysters from Oregon Oyster Farms are served with dulse from Oregon Seaweed at an aquaculture conference in Salem, Oregon. (photo by Sam Chan)","['Oregon Sea Grant', 'oysters', 'dulse', 'aquaculture']",33.0,0.0
14,,2022-08-30 11:35:25,1.0,,"['A75', 'Le', 'Pirou', 'France', 'autoroute']",16.0,0.0
15,,2022-10-07 22:16:59,1.0,"Capri, 7 ottobre 2022",[],68.0,0.0
16,,2022-10-12 12:00:44,1.0,"12 October 2022, 151st Plenary Session of the European Committee of the Regions
Belgium - Brussels - October 2022
© European Union / John Thys

Dan NICA, Member of the European Parliament",[],158.0,0.0
17,,2022-10-11 13:26:48,1.0,"Tu 11 October 2022 - Media Programme - Technical briefing on the regional and local Barometer

#EURegionsWeek

Belgium - Brussels - October 2022

© EU/UE",[],30.0,0.0
18,"Seattle, WA, United States",2022-09-24 16:46:01,1.0,Plitvice Lakes. Schematic layout of the lakes and the tufa barriers between them. The trails essentially go up and down the canyon where the lakes are formed by the travertine dams built from the calcium carbonate in the water.,[],17.0,0.0
19,,2022-10-08 12:44:56,1.0,Participación de ALBA Lactancia Materna en el XVIII Congreso FEDALMA 2022,['@albalactanciamaterna'],23.0,0.0
20,"Valladolid, España",2022-10-08 14:32:11,1.0,Fotografía Enrique,[],86.0,0.0
21,,2022-10-10 15:30:21,1.0,,[],58.0,0.0
22,"Medina, Indonesia",2022-06-21 11:15:56,1.0,,[],2.0,0.0
23,,2022-10-09 07:33:02,1.0,,[],206.0,0.0
24,,2022-10-08 14:10:39,1.0,,[],3.0,0.0
25,"Groningen, The Netherlands",2022-10-10 00:33:50,1.0,,[],153.0,0.0
26,"Fernley, Nevada, USA",2022-10-09 11:45:02,1.0,The tire from the RV shows significant damage.,"['Rolling Stone', 'RV', 'tire']",31.0,0.0
27,,2022-10-09 11:40:31,1.0,OLYMPUS DIGITAL CAMERA         ,[],48.0,0.0
28,,2022-10-09 08:27:28,1.0,,[],20.0,0.0
29,,2022-10-02 15:21:45,1.0,,[],33.0,0.0
30,Canada,2014-08-02 02:13:07,1.0,"Allan Gardens Conservatory is a major landmark and tourist attraction in downtown Toronto. Its historic, cast-iron and glass domed &quot;Palm House&quot; was built in 1910 and is designated under the Ontario Heritage Act. A botanical gem in the heart of the city, Allan Gardens has a permanent collection of exotic plants and beautiful seasonal flower shows.","['Allan', 'Gardens', 'Conservatory', 'Toronto', 'On', 'Canada', 'Ontario', 'Flowers', 'Sunburst', 'Stamen', 'Palm', 'House', 'Historic', 'Historical', 'Heritage', 'Building', 'Landmark', 'Travel', 'Tourist', 'Attraction', 'Exotic', 'Plants', 'Shows', 'Onasill', 'Sun', 'Burst', 'Light', 'Canon', 'SL1', 'Rebel', 'Sigma', '18-250mm', 'Cabbagetown', 'Rose', 'flower', 'plant']",16155.0,105.0
31,,2022-10-06 10:56:26,1.0,          ,[],45.0,0.0
32,Brasilia,2022-10-06 14:23:45,1.0,"Brasília, 06 de outubro de 2022. Comitiva da Argentina visita a sede da CNA. Foto: Wenderson Araujo/Trilux",[],85.0,0.0
33,,2022-10-06 15:08:33,1.0,Sesión Ordinaria ,[],27.0,0.0
34,,2022-10-06 09:25:31,1.0,,[],46.0,0.0
35,,2022-10-05 11:39:04,1.0,,[],4.0,0.0
36,Russia,2022-10-04 08:53:34,1.0,4 октября 2022 года. Осмотр  выставки Омской области,[],68.0,0.0
37,"Aurora, IL",2022-09-30 09:00:46,1.0,"Spread Eagle, WI",[],43.0,0.0
38,,2022-09-22 09:45:24,1.0,                               ,"['Jerusalem', 'church', 'architecture', 'ancient', 'religious', 'christian', 'light']",58.0,0.0
39,,2016-09-24 11:08:00,1.0,,[],1.0,0.0
40,,2022-09-30 18:45:41,1.0,,"['moresaymore', '墨莫不語', '氣泡水', '洛神', '火龍果', '味噌雞腿', '雞腿排', '特色餐廳', '素食', '食物', '食記', '美食', '台中美食']",32.0,0.0
41,,2022-04-21 16:08:45,1.0,Taken at Durham Botanic Gardens,"['garden', 'daffodil', 'Flowers', 'plants', 'yellow', 'spring', 'durham city', 'County Durham', 'North East England', 'durham botanic gardens', 'durham', 'april']",28.0,0.0
42,,2022-09-28 19:15:06,1.0,By: Victoria Brayman '22,[],110.0,0.0
43,,2022-09-30 07:29:36,1.0,"Houlin Zhao, Secretary-General, speaking at the ITU Plenipotentiary Conference 2022 (PP-22), Bucharest, Romania.

30th September 2022

©ITU/Rowan Farrell","['PP-22 Policy Statements', 'Houlin', 'Zhao']",835.0,0.0
44,,2022-09-29 11:57:15,1.0,Sesión Ordinaria ,[],20.0,0.0
45,"臺中市, 台灣",2022-09-22 10:13:12,1.0,,[],62.0,0.0
46,,2022-09-28 14:57:55,1.0,Foro abierto para directivos,"['encuentro', 'empresarial', 'OPENDIR', 'Alicante', 'networking']",151.0,0.0
47,,2022-09-23 19:51:40,1.0,,[],8.0,0.0
48,Russia,2022-09-29 12:08:22,1.0,29 сентября 2022 года. Встреча с Председателем Национального собрания Парламента Республики Зимбабве,[],53.0,0.0
49,,2022-09-12 16:55:03,1.0,,[],24.0,0.0
50,"Ypsilanti, Michigan, USA",2022-09-25 06:57:26,1.0,"Off with Runyon to his favorite place on earth - Swift Run Dog Park (near the intersection of Platt and Ellsworth and across the street from Lillie Park).  Pictures from Sunday September 25th, 2022.","['Swift Run Dog Park', 'Swift Run', 'Dog Park', 'Dogs', 'Pets', 'Ann Arbor', 'Washtenaw County', 'Ann Arbor Parks Parks', 'Washtenaw County Parks', 'Spring', 'Off Leash', 'Michigan', 'SwiftRun09252022', 'SwiftRunDogPark2022', 'SwiftRunDogPark2022AM', 'SwiftRunMorning', 'Parks', 'Morning', 'Runyon09252022', 'Dog', 'Rescue Dogs', 'Catahoula', 'Catahoula Mix', 'Catahoula Leopard Mix']",64.0,0.0
51,,2022-09-27 13:30:56,1.0,"27.09.2022. Valsts prezidents Egils Levits Saldus Mūzikas un mākslas skolā aizvada debašu cikla “#Satversmei100: vērtības nākotnei” ceturto diskusiju “Viens no 1,8 miljoniem – ko izšķir mana balss? Līdzdalība: izvēle, tiesības vai pienākums”. Foto autors: Ilmārs Znotiņš, Valsts prezidenta kanceleja.",[],117.0,0.0
52,,2022-09-27 14:25:00,1.0,Olia de la Chatrene ,[],14.0,0.0
53,"Getxo, Spain",2022-09-23 13:03:49,1.0,"Fotos de Gorka Retes. Post completo: <b><a href=""https://blog.agirregabiria.net/2022/08/i-muestra-de-la-movilidad-sostenible-de.html"" rel=""noreferrer nofollow"">MoVEO, I Muestra de la Movilidad Sostenible de Oviedo</a></b>.",[],5.0,0.0
54,,2022-09-26 23:11:32,1.0,,"['TeamCanada', 'Calgaryevents', 'Calgarysports', 'Calgary', 'Oval', 'Speed', 'Racing', 'Races', 'Fast&Furious', 'Safesports', 'EliteAthleteDevelopment', 'Youthsports', 'youthchampionships', 'Youthactivities', 'kidsactivities', 'bestsportsincanada', 'wintersports', 'winterathletics', 'competitions', 'Summerclassic', 'fastesticeintheworld', 'ice', 'skating', 'iceskating', 'universityofcalgary', 'longtrack', 'Speedskating', 'Ovalprogram', 'SingleDistanceSeries', 'Iceracing', 'Iceraces', 'FallClassic']",128.0,0.0
55,,2022-09-24 16:28:49,1.0,,[],123.0,0.0
56,"Dallas, USA",2022-09-25 09:57:15,1.0,,[],20.0,0.0
57,,2022-09-24 13:05:53,1.0,"Spiel und Spass mit der ganzen Familie!

🔑 Pic-Code » #ethioswissfc2022basel
👉 Follow » google.ch/search?q=%23ethioswissfc2022basel | twitter.com/search?q=ethioswissfc2022basel (Tweet)
️ Slide » youtu.be/yBIh4XoRsk0

Ort: Sportzentrum Pfaffenholz in Basel (Grenze/Frankreich)
🌐 Map-Link » goo.gl/maps/K2MyJB3aEQbJRyYc9
 Mitfahrgelegenheit nach Basel » bit.ly/3LzUCzS

📂 Archiv » bit.ly/3xDkfKn [tweet] bit.ly/3R4spm5 [fb] bit.ly/3DK15GL [g] flic.kr/s/aHBqjA83c6 [flickr]

7ኛው የኢትዮ ስዊዝ የባሕል እና ስፖርት ፌስቲቫል በደማቅ ሁኔታ ቅዳሜ   2022 በባዝል ከተማ ይካሄዳል ።

በዚህ ስዊዝ ውስጥ እና ከተለያዩ የአውሮፖ ሀገሮች የሚገኙ የእግኳስ ቡድኖች በሚሳተፉበት ደማቅ የሆነ ቤተሰባዊ ቀን እንዲገኙ የፌዴሬሽናችን አባል የኢትዮ ስዊዝ ባሕል ስፖርት ማህበር በአክብሮት ይጋብዛል ።

የተሟላ የልጆች መጫወቻ እና የኳስ ውድድር ስለሚኖር ልጆችዎ እንዳይቀሩ ኢትዮ ስዊዝ አደራ ይላል!

#ethioswissfc2022basel #isafachstelle #africanculturalfestival #afrofest #musicafrica #basel #sportzentrum #pfaffenholz #africanculturalfestival2022 #ethioswissfc2022 #refugees #respect #schutte #sportthebridge #soccer #thethioswissfestival2022 #ethioswissfestival #ethiopia #fcdahlak #fussball #ethioswitzerland #ethioswissfestival2022 #fcblackstar #ethioswissfc #ethioswiss #base #escfe #ethioswed #ethioswed2022 #adikeyih #adikeyih2022","['ethioswissfc2022basel', 'isafachstelle', 'africanculturalfestival', 'afrofest', 'musicafrica', 'basel', 'sportzentrum', 'pfaffenholz', 'africanculturalfestival2022', 'ethioswissfc2022', 'refugees', 'respect', 'schutte', 'sportthebridge', 'soccer', 'thethioswissfestival2022', 'ethioswissfestival', 'ethiopia', 'fcdahlak', 'fussball', 'ethioswitzerland', 'ethioswissfestival2022', 'fcblackstar', 'ethioswissfc', 'ethioswiss', 'base', 'escfe', 'ethioswed', 'ethioswed2022', 'adikeyih', 'adikeyih2022']",16.0,0.0
58,"Omaha, USA",2022-09-24 12:18:18,1.0,,"['Omaha Botanical Society', 'Lauritzen Gardens', 'Omaha', 'NE', 'Nebraska']",8.0,0.0
59,"Maryland, USA",2022-09-06 14:19:03,1.0,,"['GR2', 'Ricoh GR2', '_R386515.DNG', 'Ricoh GR II', 'mounds', 'candy', 'advertising', 'vintage', 'women', 'dreams']",166.0,0.0
60,,2022-09-24 15:21:46,1.0,,"['Comic-con', 'OzComicCon', 'Cosplay', 'Con']",140.0,0.0
61,,2022-09-24 14:31:07,1.0,,"['Comic-con', 'OzComicCon', 'Cosplay', 'Con']",194.0,0.0
62,,2022-09-23 11:36:17,1.0,                               ,[],182.0,0.0
63,,2011-05-28 17:28:47,1.0,OLYMPUS DIGITAL CAMERA,[],2.0,0.0
64,,2022-09-21 20:06:04,1.0,"Festa Estellés 2022. Octubre Centre de Cultura Contemporània de València.
Dimecres 21 de setembre de 2022.
–Lectura de poemes
–Connexió València, Barcelona, Palma, Perpinyà i Brussel·les
Acte conduït per Marina Mulet

—
Organitzat per:
Acció Cultural del País Valencià
Associació d’Escriptors en Llengua Catalana
Ca Revolta
Escola Valenciana
Societat Coral el Micalet
Col·lectiu Ovidi Montllor
Fundació Full
Obra Cultural Balear
Òmnium Cultural
Casal Català de Brussel·les
Casal de Perpinyà",[],53.0,0.0
65,,2022-05-01 10:44:03,1.0,,"['GBTS', 'Brampton', 'Canada']",12.0,0.0
66,"Geneva, Switzerland",2022-09-21 15:04:06,1.0,"Advancing Net-Zero across Healthcare and Manufacturing Industries

Brian Eden, Vice-President, Global Life Sciences Technical Operations Practice, Capgemini, France; Lisa Wee, Global Head, Sustainability, AVEVA Group, United Kingdom; Gunter Beitinger, Senior Vice-President, Manufacturing; Head, Factory Digitalization, Siemens, Germany; Paulette Frank, Chief Sustainability Officer, Johnson &amp; Johnson, USA
Sharon Vidal, Senior Director, Corporate Social Responsibility and Sustainability, Illumina, USA; Francisco Betti, Head, Shaping the Future of Advanced Manufacturing &amp; Value Chains; Member, ExCom, World Economic Forum; Shyam Bishen, Head, Shaping the Future of Health and Healthcare, Member of Executive Committee, World Economic Forum. Copyright: World Economic Forum/Jeffery Jones
","['2022', 'sustainable development impact meetings', 'USA', 'WEF', 'WEF22', 'new york', 'world economic forum', 'leadership panel', 'workshop', 'roundtable', 'green procurement', 'climate', 'trade', 'energy', 'decarbonization', 'food systems', 'nutrition']",381.0,0.0
67,,2022-08-15 10:18:27,1.0,,[],76.0,0.0
68,,2022-09-12 17:56:53,1.0,,['LensTagger'],19.0,0.0
69,,2022-09-20 21:29:58,1.0,"AMORIN Dylan
",[],83.0,0.0
70,,2022-09-20 20:48:14,1.0,"HERMAN Lonni Anthony
",[],63.0,0.0
71,"Whistler, Canada",2022-09-16 20:30:13,1.0,"Teeny Tiny Art Party

Photo: Oisin McHugh","['Teeny', 'tiny', 'art', 'party', 'whistler', 'British Columbia', 'Canada']",71.0,0.0
72,,2022-09-18 10:24:18,1.0,,[],189.0,0.0
73,,2022-09-18 10:24:22,1.0,,[],90.0,0.0
74,,2022-09-16 17:07:30,1.0,,[],14.0,0.0
75,"Sao Paulo, Brazil",2022-09-12 17:22:41,1.0,,[],3.0,0.0
76,"Sao Paulo, Brazil",2022-09-12 17:02:29,1.0,,[],2.0,0.0
77,,2021-07-30 19:42:48,1.0,,"['Wildlife', 'Birds', 'Other', 'species']",2.0,0.0
78,,2016-10-06 11:20:59,1.0,"flickr photostream
","['urban', 'city', 'everyday', 'public', 'place', 'outdoor', 'life', 'human', 'social', 'stranger', 'documentary', 'photojournalism', 'candid', 'street', 'dmitry ryzhkov', 'moscow', 'russia', 'streetphotography', 'people', 'man', 'mankind', 'humanity', 'bw', 'blackandwhite', 'monochrome']",732.0,0.0
79,"Lawton, OK, United States",2022-09-14 20:30:01,1.0,,[],3.0,0.0
80,"bauru , brasil ",2022-08-29 20:38:34,1.0,,[],5.0,0.0
81,,2022-09-07 06:13:53,1.0,                               ,[],0.0,0.0
82,,2022-09-02 10:48:10,1.0,"<a href=""http://www.franziskawindisch.com/"" rel=""noreferrer nofollow"">www.franziskawindisch.com/</a>","['Meakusma 2022', '20220902', 'Franziska Windisch']",88.0,0.0
83,,2022-09-11 11:57:17,1.0,"You know how some words are flavored with color?  September is always yellow for me.
CC Rainbow Game -Yellow
CC Most Versatile - Yellow","['sunflowers', 'bokeh', 'Yellow']",293.0,7.0
84,,2022-09-09 18:57:43,1.0,,[],5.0,0.0
85,"East Bridgewater, MA, USA",2022-08-23 12:32:36,1.0,,"['squaredcircle', 'Food', '@ Large', 'Restaurant', 'Vacation', '2022', 'SC-Maine 2022', '0822', 'Portland', 'Maine', 'United States']",555.0,6.0
86,,2022-09-09 18:26:48,1.0,,"['MiC 2022', 'Festes 2022']",79.0,0.0
87,"São Caetano do Sul, Brasil",2019-02-17 16:34:36,1.0,"
Winter in São Paulo - 33º / 89ºF
air humidity - 23%
September 9th., 2022.


Save our Planet, please!


***


El Valle de la Luna (the Valley of the Moon) is located 13 kilometres (8 mi) west of San Pedro de Atacama, to the north of Chile in the Cordillera de la Sal, in the Atacama desert.

 It has various stone and sand formations which have been carved by wind and water. It has an impressive range of color and texture, looking somewhat similar to the surface of the moon. There are also dry lakes where the composition of salt makes a white covering layer of the area. It presents diverse saline outcrops which appear like man-made sculptures.

There are also a great variety of caverns. When the sun sinks, it is painting pie tones the edges of hills and defiles, while the wind blows among the rocks and the sky passes from pink color to purple and finally black.

Valle de la Luna is a part of the Reserva Nacional los Flamencos and was declared a Nature Sanctuary in 1982 for its natural environment and strange lunar landscape, from which its name is derived.

 The Atacama desert is also considered one of the driest places on earth, as some areas have not received a single drop of rain in hundreds of years. A prototype for a Mars rover was tested there by scientists because of the valley's dry and forbidding terrains.
","['Valle de la Luna', 'Vale da Lua', 'the Valley of the Moon', 'highlands', 'altiplano', 'Altiplanos Chilenos', 'Tierras Altas Chilenas', 'Chilean Highlands', 'volcano', 'vulcão', 'montanha', 'mountain', 'neve', 'snow', 'Chile', 'San Pedro de Atacama', 'SPA', 'deserto do Atacama', 'Atacama', 'Atacama desert', 'desierto de Atacama', 'desert', 'deserto', 'desierto', 'Nortrek', 'Nortrek Atacama', 'Carlos Mella Sepulveda', 'Emmanuel', 'Argentinian travel guide', 'tour', 'passeio', 'shared tour', 'Sernatur', 'South America', 'America do Sul', 'nature', 'natureza', 'landscape', 'paisagem', 'UNESCO', 'North of Chile', 'the Andes', 'Cordilheira dos Andes', 'Salar de Atacama', 'Emmanuel, our fine Argentinian travel guide', 'Comunidad Atacameña de Solor', 'Cordillera de Sal', 'Salt Mountain Range', 'the Los Flamencos National Reserve', 'formações rochosas', 'rock formations', 'lunar surface', 'dunas', 'dunes', 'Licancabur Volcano', 'Juriques Volcano', 'Laskar Volcano', 'viagem', 'trip', 'amigo', 'NATUR', 'Sony', 'Sony 6300', 'camera', 'paisagismo', 'landscaping', 'landscaping photography', 'photography']",8747.0,186.0
88,,2022-09-07 17:45:07,1.0,"Looky
",[],14.0,0.0
89,,2022-09-06 20:17:55,1.0,,[],272.0,0.0
90,,2022-09-01 18:51:14,1.0,,[],19.0,0.0
91,"Bruxelles, Belgique",2022-09-04 15:12:00,1.0,,['bifff bifff2022 déclicsphotos makeup fantastic'],10.0,0.0
92,,2022-09-04 10:46:02,1.0,,[],56.0,0.0
93,,2022-09-04 09:47:36,1.0,,[],142.0,0.0
94,,2022-09-04 09:55:14,1.0,,[],134.0,0.0
95,,2022-09-04 08:49:42,1.0,,[],138.0,0.0
96,"Berlin, Germany",2022-08-30 08:45:33,1.0,,"['athens', 'greece', 'ancient', 'civilization']",64.0,0.0
97,,2022-08-24 13:25:27,1.0,,[],10.0,0.0
98,,2022-08-31 05:09:40,1.0,"31.08.2022. Valsts prezidents Egils Levits pasniedz Cildinājuma rakstu Dailes teātra aktierim Gunāram Placēnam. Foto autors: Ilmārs Znotiņš, Valsts prezidenta kanceleja. ",[],79.0,0.0
99,"Fernley, Nevada, USA",2022-08-30 14:04:03,1.0,,['trains'],69.0,0.0
100,,2022-10-07 10:22:05,1.0,By: Victoria Brayman '22,[],49.0,0.0
101,"Barcelona, España",2022-09-08 18:38:27,1.0,,[],56.0,0.0
102,,2020-11-21 16:17:37,1.0,Roof of the train is visible on the elevated railroad. It is a local train of Chuo Line.,"['road', 'railroad', 'Asagaya', 'Koenji', 'Suginami', 'Tokyo', 'Japan']",42.0,0.0
103,"Cambridge, UK",2022-08-29 10:17:27,1.0,          ,[],44.0,0.0
104,,2022-08-28 10:38:00,1.0,,[],222.0,0.0
105,,2022-08-28 10:25:11,1.0,,[],222.0,0.0
106,,2022-08-28 07:07:42,1.0,,[],404.0,0.0
107,"Las Peñitas, Nicaragua",2022-08-27 16:40:27,1.0,,"['nicaragua', 'volleyball', 'beach volleyball', 'playa', 'beach', 'poneloya', 'las penitas', 'central america', 'nikon', 'nikon d3500', 'dslr', 'nikkor', 'nikkor af-p 70-300', 'tournament', 'simple beach lodge', 'nikon dx']",324.0,0.0
108,"Seattle, USA",2022-08-21 10:10:34,1.0,"Lake Union Park, August 21","['connection', 'gathering', 'community', 'seattle design festival', 'public space', 'seadesignfest', 'design lecture', 'design', 'sdf2022', 'art installation', 'design event']",116.0,0.0
109,"Augusta, ME, USA",2022-08-27 14:50:17,1.0,"The Woodshed, Manchester Maine - 8-27-2022",[],133.0,0.0
110,St. Paul MN & sometimes Manchester/Salford UK,2022-08-26 13:38:01,1.0,          ,[],2.0,0.0
111,,2022-08-12 19:29:55,1.0,Festa Major 2022,[],136.0,0.0
112,,2016-11-21 15:51:26,1.0,,[],27.0,0.0
113,Brasil,2022-08-26 17:48:22,1.0,,"['19ª Legislatura', 'Câmara Municipal', 'Câmara de Vereadores de Itajaí', 'Gestão 2021/2022', 'Itajaí', 'Poder Legislativo', 'SC', 'Santa Catarina', '©Davi Spuldaro', 'Santa Catarina (SC)', 'Brasil']",37.0,0.0
114,"Taipei, Taiwan",2022-08-14 11:27:35,1.0,,[],55.0,0.0
115,"Rio de Janeiro, Brazil",2022-03-26 16:00:14,1.0,Foto: Painel Unificador das Favelas | ComCat,[],78.0,0.0
116,,2022-09-09 18:38:40,1.0,,[],7.0,0.0
117,"Salt Lake City, USA",2022-09-17 15:33:47,1.0,The only seating area now that has facing seats. ,[],31.0,0.0
118,,2022-09-19 10:07:20,1.0,,[],250.0,0.0
119,"Groningen, The Netherlands",2022-08-27 13:13:16,1.0,,[],130.0,0.0
120,,2022-08-28 18:54:28,1.0,,[],2.0,0.0
121,,2022-10-07 17:13:43,1.0,,[],35.0,0.0
122,,2022-09-04 08:03:31,1.0,,[],139.0,0.0
123,,2022-09-17 18:46:42,1.0,FC Embrach - FC Seefeld CUP vom 17.09.2022,"['Studerfotos', 'Fussball', 'FCEmbrach', 'FCE', 'FCSeefeld']",23.0,0.0
124,"Taipei, Taiwan",2022-08-26 23:04:42,1.0,,[],45.0,0.0
125,,2022-08-26 16:37:49,1.0,Porache 911 keyring lightbox,"['Porsche 911', 'potache', 'yellow', 'hot wheels', 'toy', 'die cast', 'keyring', '2022', 'iphone', 'lightbox']",197.0,0.0
126,"Beeston, Nottingham, England",2022-04-13 14:12:12,1.0,,[],2.0,0.0
127,"Ellensburg, United States",2022-08-24 19:07:15,1.0,,"['CWU', 'Football', 'Central', 'Washington', 'University', 'Lone', 'Star', 'Conference']",167.0,0.0
128,,2016-06-05 11:26:06,1.0,flickr photostream,"['urban', 'city', 'everyday', 'public', 'place', 'outdoor', 'life', 'human', 'social', 'stranger', 'documentary', 'photojournalism', 'candid', 'street', 'streetphotography', 'people', 'man', 'mankind', 'humanity', 'bw', 'blackandwhite', 'monochrome']",598.0,0.0
129,,2022-08-25 10:01:36,1.0,,[],3.0,0.0
130,,2022-08-25 19:32:36,1.0,"<a href=""http://www.oxonraces.com/photos/download.php?myidlc=2022-08-25-kidlington&amp;frameid=1482"" rel=""noreferrer nofollow"">Click here if you wish to download a hi-res version of this photo</a>. If you put a photo somewhere public, please add the credit <em>Photo by Barry Cornelius</em>.  <a href=""http://www.oxonraces.com/photos/2022-08-25-kidlington/"" rel=""noreferrer nofollow"">Click here for more photos of the 2022 Mota-vation Race 5 - Kidlington</a>.","['2022', 'Mota-vation Race 5 - Kidlington', 'Kidlington', '5.15M', 'Barry Cornelius', 'oxonraces']",27.0,0.0
131,,2022-08-13 11:56:01,1.0,"Goshen, Utah County, Utah.","['arbyreed', 'bail', 'bailer', 'bailing machine', 'tractor', 'agriculture', 'farming', 'farm', 'hay', 'feed', 'harvest', 'green', 'goshen', 'utah county utah', 'rural', 'john', 'de', 'john deere', 'farm machine', 'wheels', 'field']",278.0,1.0
132,,2019-08-28 13:49:37,1.0,"Go to <a href=""http://archive.org/stream/b19974760M2420#page/23/mode/2up"" rel=""noreferrer nofollow""><b>Page 23</b></a> in the Internet Archive
 <b>Title:</b> The chemist and druggist [electronic resource], Vol. 101, no. 1 = no. 2319 (5 July 1924)
<b>Creator:</b> UBM
<b>Publisher:</b> London : Morgan Brothers
<b>Sponsor:</b> Wellcome Library
<b>Contributor:</b> Wellcome Library
<b>Date:</b> 1924
<b>Vol:</b> Vol. 101, no. 1 = no. 2319 (5 July 1924)
<b>Language:</b> eng

If you have questions concerning reproductions, please contact the <a href=""http://www.medicalheritage.org/talk-to-us"" rel=""noreferrer nofollow""><b>Contributing Library</b>.</a>

<i>Note: The colors, contrast and appearance of these illustrations are unlikely to be true to life. They are derived from scanned images that have been enhanced for machine interpretation and have been altered from their originals.</i>

 Read/Download from the <a href=""http://archive.org/details/b19974760M2420"" rel=""noreferrer nofollow""><b>Internet Archive</b></a>

<a href=""http://www.flickr.com/photos/tags/idb19974760M2420"">See all images from this book</a>
<a href=""http://www.flickr.com/photos/97306593@N02/tags/date1924"">See all MHL images published in the same year</a>
<a href=""http://www.flickr.com/photos/tags/wellcomelibrary"">See all images from Wellcome Library</a>","['Pharmacy', 'Drug', 'Industry', 'chemistanddruggist', 'wellcomelibrary', 'medicalheritagelibrary', 'europeanlibraries', 'date1924', 'idb19974760M2420']",11.0,0.0
