"TOOL_IDENTIFIER","CATEGORY_CODE","CATEGORY_NAME","COUNT"
"CC BY 3.0","astro-ph","Astrophysics","63"
"CC BY 3.0","astro-ph.CO","Cosmology and Nongalactic Astrophysics","182"
"CC BY 3.0","astro-ph.EP","Earth and Planetary Astrophysics","48"
"CC BY 3.0","astro-ph.GA","Astrophysics of Galaxies","101"
"CC BY 3.0","astro-ph.HE","High Energy Astrophysical Phenomena","111"
"CC BY 3.0","astro-ph.IM","Instrumentation and Methods for Astrophysics","86"
"CC BY 3.0","astro-ph.SR","Solar and Stellar Astrophysics","147"
"CC BY 3.0","cond-mat.dis-nn","Disordered Systems and Neural Networks","47"
"CC BY 3.0","cond-mat.mes-hall","Mesoscale and Nanoscale Physics","309"
"CC BY 3.0","cond-mat.mtrl-sci","Materials Science","359"
"CC BY 3.0","cond-mat.other","Other Condensed Matter","66"
"CC BY 3.0","cond-mat.quant-gas","Quantum Gases","57"
"CC BY 3.0","cond-mat.soft","Soft Condensed Matter","125"
"CC BY 3.0","cond-mat.stat-mech","Statistical Mechanics","164"
"CC BY 3.0","cond-mat.str-el","Strongly Correlated Electrons","123"
"CC BY 3.0","cond-mat.supr-con","Superconductivity","122"
"CC BY 3.0","cs.AI","Artificial Intelligence","136"
"CC BY 3.0","cs.AR","Hardware Architecture","17"
"CC BY 3.0","cs.CC","Computational Complexity","50"
"CC BY 3.0","cs.CE","Computational Engineering, Finance, and Science","68"
"CC BY 3.0","cs.CG","Computational Geometry","23"
"CC BY 3.0","cs.CL","Computation and Language","94"
"CC BY 3.0","cs.CR","Cryptography and Security","131"
"CC BY 3.0","cs.CV","Computer Vision and Pattern Recognition","131"
"CC BY 3.0","cs.CY","Computers and Society","105"
"CC BY 3.0","cs.DB","Databases","98"
"CC BY 3.0","cs.DC","Distributed, Parallel, and Cluster Computing","87"
"CC BY 3.0","cs.DL","Digital Libraries","90"
"CC BY 3.0","cs.DM","Discrete Mathematics","57"
"CC BY 3.0","cs.DS","Data Structures and Algorithms","76"
"CC BY 3.0","cs.ET","Emerging Technologies","21"
"CC BY 3.0","cs.FL","Formal Languages and Automata Theory","25"
"CC BY 3.0","cs.GL","General Literature","2"
"CC BY 3.0","cs.GR","Graphics","9"
"CC BY 3.0","cs.GT","Computer Science and Game Theory","37"
"CC BY 3.0","cs.HC","Human-Computer Interaction","43"
"CC BY 3.0","cs.IR","Information Retrieval","90"
"CC BY 3.0","cs.IT","Information Theory","198"
"CC BY 3.0","cs.LG","Machine Learning","102"
"CC BY 3.0","cs.LO","Logic in Computer Science","72"
"CC BY 3.0","cs.MA","Multiagent Systems","21"
"CC BY 3.0","cs.MM","Multimedia","39"
