"PLAN_INDEX","TOOL_IDENTIFIER","COUNTRY","COUNT"
"921","CC BY 4.0","Afghanistan","386"
"922","CC BY 4.0","Albania","411"
"923","CC BY 4.0","Algeria","3290"
"924","CC BY 4.0","American Samoa","4"
"925","CC BY 4.0","Andorra","5"
"926","CC BY 4.0","Angola","187"
"927","CC BY 4.0","Anguilla","0"
"928","CC BY 4.0","Antarctica","5"
"929","CC BY 4.0","Antigua and Barbuda","6"
"930","CC BY 4.0","Argentina","76400"
"931","CC BY 4.0","Armenia","10900"
"932","CC BY 4.0","Aruba","18600"
"933","CC BY 4.0","Australia","222000"
"934","CC BY 4.0","Austria","42300"
"935","CC BY 4.0","Azerbaijan","1240"
"936","CC BY 4.0","Bahamas","4"
"937","CC BY 4.0","Bahrain","219"
"938","CC BY 4.0","Bangladesh","1880"
"939","CC BY 4.0","Barbados","7"
"940","CC BY 4.0","Belarus","467"
"941","CC BY 4.0","Belgium","101000"
"942","CC BY 4.0","Belize","4"
"943","CC BY 4.0","Benin","436"
"944","CC BY 4.0","Bermuda","3"
"945","CC BY 4.0","Bhutan","619"
"946","CC BY 4.0","Bolivia","1380"
"947","CC BY 4.0","Bosnia and Herzegovina","2170"
"948","CC BY 4.0","Botswana","116"
"949","CC BY 4.0","Bouvet Island","0"
"950","CC BY 4.0","Brazil","746000"
"951","CC BY 4.0","British Indian Ocean Territory","0"
"952","CC BY 4.0","Brunei Darussalam","320"
"953","CC BY 4.0","Bulgaria","18600"
"954","CC BY 4.0","Burkina Faso","134"
"955","CC BY 4.0","Burundi","9"
"956","CC BY 4.0","Cambodia","710"
"957","CC BY 4.0","Cameroon","172"
"958","CC BY 4.0","Canada","355000"
"959","CC BY 4.0","Cape Verde","6"
"960","CC BY 4.0","Cayman Islands","4"
"961","CC BY 4.0","Central African Republic","0"
"962","CC BY 4.0","Chad","44"
"963","CC BY 4.0","Chile","14600"
"964","CC BY 4.0","China","76600"
"965","CC BY 4.0","Christmas Island","6"
"966","CC BY 4.0","Cocos (Keeling) Islands","0"
"967","CC BY 4.0","Colombia","66300"
"968","CC BY 4.0","Comoros","0"
"969","CC BY 4.0","Congo","48"
